filename,category,full_path,risk_level,redness_score,bald_area_ratio,lesion_circularity,affected_pixel_count,stat_base_redness,stat_std_redness,processing_time_sec,error
AD_Opulencia_1.png,Allergy dermatitis,..\Dataset\Allergy dermatitis\AD_Opulencia_1.png,High,-0.047090768814086914,0.018294988346961465,0.3404125124856733,3242,121.97238159179688,4.638566493988037,0.237,
AD_Opulencia_2.png,Allergy dermatitis,..\Dataset\Allergy dermatitis\AD_Opulencia_2.png,High,0.03969621658325195,0.07696124154081248,0.08213275763384187,11634,133.08111572265625,5.699248313903809,0.117,
AD_Opulencia_3.png,Allergy dermatitis,..\Dataset\Allergy dermatitis\AD_Opulencia_3.png,High,0.017155766487121582,0.03964631872028578,0.3725256842574577,12075,130.19593811035156,2.927393913269043,0.131,
AD_Opulencia_4.png,Allergy dermatitis,..\Dataset\Allergy dermatitis\AD_Opulencia_4.png,High,0.030264735221862793,0.055656810206468815,0.12100337212420606,8184,131.87388610839844,4.716326713562012,0.078,
AD_Opulencia_5.png,Allergy dermatitis,..\Dataset\Allergy dermatitis\AD_Opulencia_5.png,High,0.030344843864440918,0.049607449954117526,0.20195570614813646,7298,131.88414001464844,7.233890533447266,0.102,
AD_Opulencia_6.png,Allergy dermatitis,..\Dataset\Allergy dermatitis\AD_Opulencia_6.png,High,0.060199618339538574,0.034254653607507304,0.5589638844228423,1336,135.70555114746094,9.0811185836792,0.018,
AD_Opulencia_7.png,Allergy dermatitis,..\Dataset\Allergy dermatitis\AD_Opulencia_7.png,Low,0.09208500385284424,0.004923673554740224,0.18361791939604788,777,139.78688049316406,5.657054424285889,0.063,
AD_Opulencia_8.png,Allergy dermatitis,..\Dataset\Allergy dermatitis\AD_Opulencia_8.png,High,0.026123642921447754,0.0689405244084417,0.2021460808575006,8085,131.3438262939453,5.542921543121338,0.059,
FA_Opulencia_1.png,Feline Acne,..\Dataset\Feline Acne\FA_Opulencia_1.png,High,0.023874402046203613,0.07366190891117136,0.09649663711855148,16654,131.05592346191406,6.120227813720703,0.1,
FA_Opulencia_2.png,Feline Acne,..\Dataset\Feline Acne\FA_Opulencia_2.png,High,0.05840110778808594,0.021610670268445046,0.21628837366451514,1280,135.475341796875,5.771228790283203,0.101,
FA_Opulencia_3.png,Feline Acne,..\Dataset\Feline Acne\FA_Opulencia_3.png,High,0.04315483570098877,0.00946030691058,0.2623053908295466,1765,133.52381896972656,7.8191118240356445,0.064,
